--------------------------------------------------------------------------------------------------------------
Example ids:  245 project:  FFmpeg commit id:  7bf3f380466eeff24916fd6218aca13e414c6240 Number of lines:  124 tground truth:  1
Original lines: 
Predicted Correctly by :  ['PLBART', 'devign', 'regvd', 'vulberta_cnn', 'vulberta_mlp']
0 static int cbs_h265_read_nal_unit(CodedBitstreamContext *ctx,                                  {'PLBART': 0, 'devign': 21, 'regvd': 14, 'vulberta_cnn': 29, 'vulberta_mlp': 9}
2                                   CodedBitstreamUnit *unit)                                    {'PLBART': 11, 'devign': 60, 'regvd': 49, 'vulberta_cnn': 91, 'vulberta_mlp': 87}
4 {                                                                                              {'PLBART': 14, 'devign': 283, 'regvd': 108, 'vulberta_cnn': 33, 'vulberta_mlp': 123}
6     BitstreamContext bc;                                                                       {'PLBART': 9, 'devign': 96, 'regvd': 78, 'vulberta_cnn': 34, 'vulberta_mlp': 122}
8     int err;                                                                                   {'PLBART': 12, 'devign': 97, 'regvd': 94, 'vulberta_cnn': 27, 'vulberta_mlp': 121}
12     err = bitstream_init(&bc, unit->data, 8 * unit->data_size);                               {'PLBART': 2, 'devign': 10, 'regvd': 0, 'vulberta_cnn': 8, 'vulberta_mlp': 43}
14     if (err < 0)                                                                              {'PLBART': 10, 'devign': 6, 'regvd': 81, 'vulberta_cnn': 14, 'vulberta_mlp': 120}
16         return err;                                                                           {'PLBART': 13, 'devign': 30, 'regvd': 93, 'vulberta_cnn': 26, 'vulberta_mlp': 119}
20     switch (unit->type) {                                                                     {'PLBART': 6, 'devign': 0, 'regvd': 28, 'vulberta_cnn': 84, 'vulberta_mlp': 83}
22     case HEVC_NAL_VPS:                                                                        {'PLBART': 7, 'devign': 101, 'regvd': 44, 'vulberta_cnn': 94, 'vulberta_mlp': 82}
24         {                                                                                     {'PLBART': 15, 'devign': 270, 'regvd': 107, 'vulberta_cnn': 40, 'vulberta_mlp': 29}
26             H265RawVPS *vps;                                                                  {'PLBART': 4, 'devign': 92, 'regvd': 25, 'vulberta_cnn': 70, 'vulberta_mlp': 4}
30             vps = av_mallocz(sizeof(*vps));                                                   {'PLBART': 3, 'devign': 44, 'regvd': 7, 'vulberta_cnn': 19, 'vulberta_mlp': 6}
32             if (!vps)                                                                         {'PLBART': 8, 'devign': 54, 'regvd': 31, 'vulberta_cnn': 25, 'vulberta_mlp': 56}
34                 return AVERROR(ENOMEM);                                                       {'PLBART': 5, 'devign': 36, 'regvd': 41, 'vulberta_cnn': 31, 'vulberta_mlp': 63}
36             err = cbs_h265_read_vps(ctx, &bc, vps);                                           {'PLBART': 1, 'devign': 15, 'regvd': 1, 'vulberta_cnn': 23, 'vulberta_mlp': 12}
38             if (err >= 0)                                                                     {'PLBART': -1, 'devign': 24, 'regvd': 72, 'vulberta_cnn': 48, 'vulberta_mlp': 62}
40                 err = cbs_h265_replace_vps(ctx, vps);                                         {'PLBART': -1, 'devign': 18, 'regvd': 6, 'vulberta_cnn': 114, 'vulberta_mlp': 15}
42             if (err < 0) {                                                                    {'PLBART': -1, 'devign': 5, 'regvd': 77, 'vulberta_cnn': 41, 'vulberta_mlp': 81}
44                 av_free(vps);                                                                 {'PLBART': -1, 'devign': 65, 'regvd': 19, 'vulberta_cnn': 66, 'vulberta_mlp': 28}
46                 return err;                                                                   {'PLBART': -1, 'devign': 29, 'regvd': 92, 'vulberta_cnn': 79, 'vulberta_mlp': 118}
48             }                                                                                 {'PLBART': -1, 'devign': 256, 'regvd': 122, 'vulberta_cnn': 68, 'vulberta_mlp': 117}
52             unit->content = vps;                                                              {'PLBART': -1, 'devign': 79, 'regvd': 26, 'vulberta_cnn': 123, 'vulberta_mlp': 61}
54         }                                                                                     {'PLBART': -1, 'devign': 251, 'regvd': 121, 'vulberta_cnn': 61, 'vulberta_mlp': 27}
56         break;                                                                                {'PLBART': -1, 'devign': 51, 'regvd': 102, 'vulberta_cnn': 89, 'vulberta_mlp': 3}
58     case HEVC_NAL_SPS:                                                                        {'PLBART': -1, 'devign': 102, 'regvd': 43, 'vulberta_cnn': 101, 'vulberta_mlp': 26}
60         {                                                                                     {'PLBART': -1, 'devign': 247, 'regvd': 106, 'vulberta_cnn': 43, 'vulberta_mlp': 25}
62             H265RawSPS *sps;                                                                  {'PLBART': -1, 'devign': 94, 'regvd': 35, 'vulberta_cnn': 93, 'vulberta_mlp': 24}
66             sps = av_mallocz(sizeof(*sps));                                                   {'PLBART': -1, 'devign': 45, 'regvd': 3, 'vulberta_cnn': 52, 'vulberta_mlp': 7}
